REFERENCE;SAMPLE CODE;SITE NAME ;WTD;pH;LAT ;LONG;ALA MIL;AMP WRI;ARC ART;ARC CAT;ARC DIS;ARC GIB;ARC HEM;ARC VUL;ARC FLA;ARG DEN;ASS MUS;ASS SEM;BUL IND;CEN ACU;CEN CAS;CEN ECO;CEN PLA;CON PON;COR TRI;CRY OVI;CRY SAC;CYC ARC;CYP AMP;DIF ACU;DIF BAC;DIF GLO;DIF LEI;DIF LUC;DIF OBL;DIF OVI;DIF PRI;DIF PUL;DIF RUB;DIF URC;EUG CIL;EUG ROT;EUG STR;EUG TUB;GIB TUB;HEL PET;HEL ROS;HEL SPH;HEL SYL;HYA ELE;HYA MIN;HYA PAP;HYA SUB;LES EPI;LES SPI;NEB BAR;NEB COL;NEB FLA;NEB MIN;NEB PEN;NEB TIN;PAD LAG;PAD WAI;PAR IRR;PHR ACR;PHY GRI;PLAGIO;PLA SPI;PLA CAR;PLA MAR;PSE FAS;PSE FUL;PYXI;QUA SYM;SPH LEN;TRA DEN;TRI ARC ;WAI EBO;;;;;
Finkelstein/Bunbury unpublished;M20;Attawapiskat River 1;-12,0;5,91;52,845;-83,927;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,3;0,0;0,0;11,1;13,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,9;4,6;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,9;0,0;0,0;0,0;45,4;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Roe et al 2017;MER41;Mer Bleue;-12,0;3,96;45,402;-75,486;0,6;0,0;0,0;1,1;16,5;0,0;0,0;0,0;0,0;0,0;8,5;0,0;1,1;18,8;0,0;0,0;0,0;0,0;0,6;0,0;0,0;1,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,7;1,1;1,7;0,0;0,0;0,0;0,6;0,6;6,3;0,0;14,2;5,7;0,0;0,0;1,1;0,6;0,0;2,8;0,6;4,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;5,7;0,0;0,6;0,0;0,0;0,0;0,0;0,0;1,7;0,0;;;;;
Booth 2002;IBCL74:12;Independence;-11,0;4,3;47,419;-88,010;0,0;3,2;0,0;0,0;0,4;0,0;0,0;1,2;0,0;0,0;4,8;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,0;45,2;0,0;0,0;0,0;23,8;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,4;0,0;13,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth et al 2008;p37;Catfish Pocosin;-11,0;3,87;34,919;-77,088;0,0;0,0;0,0;0,0;64,2;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;3,3;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Markel et al. 2010;AK89;Brown's Lake;-11,0;6,21;60,471;-150,728;0,0;0,0;0,0;0,0;0,0;1,6;3,2;2,4;0,0;0,0;0,8;0,8;0,0;2,4;12,0;0,0;1,6;0,0;35,2;1,6;0,0;2,4;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;2,4;0,0;0,8;0,0;0,0;7,2;3,2;12,0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,8;0,0;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,8;1,6;0,0;0,0;0,0;;;;;
Roe et al 2017;MER44;Mer Bleue;-11,0;3,92;45,402;-75,486;0,0;0,0;0,0;0,0;24,5;0,0;0,0;0,0;0,0;0,0;7,0;1,4;0,0;0,7;0,0;0,0;0,7;0,0;4,9;0,0;0,0;1,4;0,0;0,0;0,7;0,0;1,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;8,4;2,8;0,0;0,0;0,0;0,0;2,1;2,8;0,0;2,8;18,2;0,0;0,0;0,0;0,0;0,0;0,7;0,0;1,4;0,0;0,0;0,0;0,0;11,2;0,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;;;;;
Markel et al. 2010;AK83;Brown's Lake;-9,5;5,9;60,471;-150,728;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,7;2,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,7;50,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;2,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2002;IB20W55:17.6;Independence;-9,0;4,2;47,419;-88,010;0,0;0,4;0,0;0,0;0,0;0,0;0,0;1,2;0,4;0,0;4,0;0,0;0,0;0,0;9,6;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;39,6;0,0;0,0;0,0;21,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,8;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Markel et al. 2010;AK78;Gate Creek;-9,0;3,97;62,333;-150,545;0,7;0,0;0,7;1,3;0,0;0,0;0,0;0,0;2,0;0,0;6,0;0,0;0,0;0,7;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;8,7;0,0;28,0;0,0;36,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,3;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;;;;;
Booth 2008;SS05;Small Sarracennia;-8,7;4,23;46,093;-92,115;0,0;4,9;0,0;0,0;1,6;0,0;0,0;0,0;2,4;0,0;0,0;1,6;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;21,1;0,0;0,8;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,8;0,0;1,6;0,0;13,0;0,0;0,0;0,0;0,0;4,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,0;0,0;0,0;0,8;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;;;;;
Markel et al. 2010;BLPURED4;Brown's Lake;-8,6;4,41;60,471;-150,728;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,2;0,0;1,2;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,7;0,0;9,9;0,0;35,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;0,0;0,0;0,0;0,0;0,0;0,0;11,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Markel et al. 2010;AK90;Brown's Lake;-8,5;6,1;60,471;-150,728;0,0;0,0;0,0;0,8;0,0;0,0;2,3;1,5;3,1;0,0;6,1;0,0;0,0;3,8;16,8;0,0;0,8;0,0;36,6;3,8;0,0;0,0;0,0;0,0;0,0;6,9;0,0;1,5;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,8;0,0;5,3;0,0;0,0;3,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;;;;;
Booth 2008;SS07;Small Sarracennia;-8,2;4,41;46,093;-92,115;0,0;0,0;0,0;0,0;0,0;0,0;1,8;1,8;0,9;0,0;10,1;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;48,6;0,0;0,9;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;5,5;0,0;4,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;7,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2001;831b;Grand Traverse Bay;-8,0;5,2;47,166;-88,255;0,0;0,0;0,0;0,0;0,0;0,0;0,0;43,9;0,0;0,0;13,4;0,0;0,0;0,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0;7,3;0,0;0,0;0,0;7,3;0,0;7,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2001;833ada;Grand Traverse Bay;-8,0;5,9;47,166;-88,255;0,0;0,0;0,0;0,0;4,5;0,0;0,0;38,8;0,0;0,0;0,0;0,0;0,0;0,0;3,7;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,7;0,0;25,4;0,0;25,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2002;IBCL124:15;Independence;-8,0;4,3;47,419;-88,010;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;0,0;54,3;0,0;0,0;0,0;19,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth et al 2008;p29;Catfish Pocosin;-8,0;4,66;34,919;-77,088;0,0;0,0;0,0;0,0;4,6;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;58,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,6;0,0;7,3;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,9;0,0;0,0;0,7;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,7;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
